dept,date,interest,reviewText,helpcount,nothelpcount
Religion,12/28/2013,Sorta interested,Great guy really nice teacher and the class was not bad but man his tests were hard especially his final I will admit I was not the most prepared but geeze his final was one of the hardest test I have taken at BYU This class made me hate religion classes at BYU a lot of knowledge  no spiritual growth I would find another teacher if I were you,0,2
Engineering,07/20/2008,Meh,This man is the king of Matlab He once asked me what the main course of a chicken dinner is Yes if you were in that class you now know who I am but seriously this guy needs a yellow smiley face so yeah he rocks Freshmen quit complaining you have no idea how hilarious it is that you guys suffer,0,0
History,10/28/2004,Really into it,I think he was a great professor Loved his accent His tests were extremely hard but he would always listen to you if you had problems,0,0
Economics,11/17/2005,Low,Hes very funny and wants to help the students as much as possible  He made economics more interesting than I ever thought it could be,0,0
Political Science,11/29/2006,Really into it,Very helpfulExpects to write a lot in the exams He gives out study sheet which basically covers most of the topics in the book He uses letter grades instead of numerical Sometimes his voice can make you sleep Actually there were people who slept in class  Interesting class Overall study hard for the exam he is not an easy grader,0,0
Psychology,12/27/2011,Sorta interested,Coffey is a good professor she is organized and allows you to drop one exam score If you want to get an A in this class you have to do the readings and make sure you study with flashcards My problem with this class was not professor Coffey but just the class itself because it was a long lecture and the exams cover literally anything mentioned,0,0
Chemistry,11/10/2004,Sorta interested,Dr Lee is great I mean Chem 105 is a beast so of course the material and tests are hard but he is so willing to help Class is entertaining and he is nogatiable about points on tests and quizes He is one of the few science teachers have met that are not quotout to get youquot Take him,0,0
Religion,12/30/2011,It's my life,Br Alford is a wonderful teacher I loved the way that he brought the spirit into class He posts the slides so review them he even tells you which slides are testable and you will do great Go to his office and he will treat you like a good friend Not easy but if anything is worth investing time into its Religion My husband and I liked it,0,0
Health Science,11/14/2014,It's my life,This was one of my favorite classes He really wants everyone to succeed I actually learned a lot about what i need to do to reach those physical goals Love this class and there are so many hot guys easy A just make sure that you fill out the journal everyday I got so far behind,0,0
Theater,11/26/2007,Low,Going into into this class I was worried about how I would do I am not terrified to speak in public but I do not thrive on it Sister Freeman and the setup of the public speaking class helped me to overcome my weaknesses Anyone can take this class and not only do well but leave  with the ability to speak fluently in most any speaking situation,0,0
Writing,12/16/2014,Low,Ben is awesome He is currently working on his Masters at BYU and is a super chill guy This could have been an awful class but he made it really enjoyable There was lots of time to write in class which was super helpful He was not the best at handing back assignments but the class was so great the nobody really cared,0,0
Communication,06/18/2014,Meh,Sister Waite is the best teacher Ive had in a while IT IS WORTH IT TO WAIT AN EXTRA SEMESTER FOR HER instead of another teacher She is easy helps students succeed takes an embarrassing and potentially difficult subject and makes it easy and fun She creates a classroom environment that makes everyone comfortable to share and succeed,0,0
Biology,07/19/2011,Really into it,Hes a great teacher I really enjoyed his classwhich is great cause I hate science  But he made it fun  Did not like his tests  They were a little random on the info,0,0
English,03/19/2009,Low,Learned a lot She is a very understanding teacher and is willing to help you in every way she can  Take her if you have the chance  You will learn a lot,0,0
Mathematics,09/21/2004,Low,Since you can use a formula sheet and you have sample midterms and finals with VERY similar problems the class is fairly easy Attend lecture for simplified notesotherwise you will be lost It is easy to not get an A but attend class  youll be fine,0,0
Political Science,07/08/2008,It's my life,Bro Inama is a terrific teacher He actually expects students to come to class prepared and ready to learn Those that complain are the lazy students that dont study and wonder why they get bad grades More students should be thankful that he expects so much of them,0,1
Business,12/15/2014,Really into it,Best professor Ive had at BYU He actually cares about his studentsgo figure NO GAMES he tells you exactly what will be on the test Spiritual thoughts are on point and actually thoughtful and poignantagain go figure Id take from him again,0,0
Mechanical Engineering,07/10/2012,It's my life,Im going to try to schedule him in the future whenever possible,0,0
Chemistry,03/26/2005,Low,Hes a great teacher and makes chemistry barable for those who arent very interested in it Hes a great teacher people arent afraid to ask a lot of questions and hes humorous The tests were fairly difficult for me because of the time constraint,0,0
Finance,03/06/2010,Really into it,Irvine is hilarious and you will learn A LOT in his class  I wouldnt take this with anyone else  He is the best teacher in Fisher  A forewarning though if English is your second language this class might be difficult for you just because he talks pretty fast  If you can understand English well though you will be fine  Read the book,0,0
Business,07/28/2005,Sorta interested,Prof Birkland is a great teacher  He understands the subject well hes approachable and hes also very helpful,0,0
Geology,11/28/2007,Low,Smart and entertaining professor Makes learning about geology fun and interesting Relates very well to college students and their mind frame My favorite class so far Highly recommend taking his class,0,0
Economics,04/26/2013,Really into it,This professor is extremely knowledgeable and communicates his points clearly However he is one of the toughest graders I have encountered In order to achieve a high grade you must write EXACTLY what he said in classno deviation I missed too many points due to this,0,0
English,03/10/2014,It's my life,Sister Gee now Sister Kunzis one of the best teachers Ive had Ive had her for three classes now and have loved every one of them She gives all the feed back you want and really cares about her students She is realistic about homework and understanding if you talk to her about a mishap I promise you shes worth taking,0,0
Women's Studies,03/27/2007,It's my life,This teacher is absolutely amazing  One of my favorites  She keeps discussion interesting and listens to everyones opinions  Readings are easy and interesting because they apply to things that affect our daily lives  I would definitely recommend taking this class for an easy grade that you actually enjoyed,0,0
Religion,12/22/2013,Really into it,Hands down the BEST religion instructor I have ever had And I done with all my religion classes The class itself is very interesting and Bro Chapman makes it SO much better He is an excellent teacher and shares lots of good stories to make his teachings come to life HIGHLY RECOMMEND taking this class from him,0,0
Health Science,04/07/2009,Sorta interested,Sister Fugal is so nice I dont know how anyone could not like her She is extremely ready to help and she knows what she is talking about She tries to make her classes as interesting as possible and she makes everyone comfortable I enjoyed taking her class and Im glad to know her,0,0
History,03/15/2008,Really into it,Easy tests An easy recitation teacher makes a huge difference  Michael Hale was a piece of cake he would give you answers to quizzes before givin them  Would take attendance at recitation but not at lecture  If you get a bad recitation teacher then you at least want Hegarty,0,0
Sociology,01/29/2006,It's my life,Amazing professor  Doesnt lecture from the book and really teaches you about more important things  I loved having guest lectures that have good careers in the criminal justice field  Everyone was so passionate it was very inspiring  Exams are hard though  Read and outline the book,0,0
Education,12/05/2014,Sorta interested,I love Sister Seamons but she requires a LOT of work We had almost an hour of homework a night which I thought was a little unreasonable for a religion class However her lectures are entertaining and pretty insightful Her Book of Mormon class will be a good experience if youre willing to do a ton of homework,0,0
Religion,05/21/2005,Really into it,Interesting teacher  Probably learn more in this class than in other similar ones  Tests are a little difficult,0,0
Finance,10/14/2013,Low,Good teacher boring subject He does a good job to keep it entertaining Fair difficulty class be sure to stay on top of the reading and attendance is mandatory,0,0
History,01/03/2007,It's my life,Very tough class with very tough grading of writing but that is what the class is about  This class taken from any professor would easily have been very boring but the readings that he chooses are very well written and Professor Kimball is very entertaining I went to talk to him several times and he was by far the most helpful professor,0,0
Mathematics,11/02/2005,Sorta interested,Shes a great person and I really liked her she was very nice and willing to go out of her way to help you I guess the teaching part was somewhat unclear because I just wasnt able to grasp the concepts as quickly as the class moves Shes a good teacher tho,0,0
English,04/21/2013,Really into it,This was one of my favorite classes Bro Grant makes sure that the assignments and projects are completely worth all of your time and effort He cares a lot about you getting to know each other as well I got more out of that english class than I did in any other one Ive taken before The work is hard but definitely worth it,0,0
Journalism,08/23/2005,Sorta interested,The major final assignment isnt as bad as it sounds If you do your small assignments right it will be a breeze,0,0
Psychology,12/28/2009,Sorta interested,I LOVED this class  Professor Flom really cares about the students and is an interesting lecturer  There is a lot of reading but if you can keep up with it the rest of the class isnt hard  He really wants you to do well and finds ways to make up points for the students,0,0
Chemistry,05/11/2008,Sorta interested,The practice exams tell you what random questions about his random lectures will be on the actual exam The workbook and his other books explain exactly what you need to know To get a good gradedo all assigned problems other than the textbook make sure you know how to do each problem do the practice exams and quotstudy questionsquot ITS SO EASY,0,0
Biology,12/21/2013,Really into it,Sam is an insightful instructor who makes strong efforts to appeal to students of all types He is very motivated passionate and eccentric in a good way He taught more than dry Botany Conveying the importance of lacing lecturelab material into other fields like economics history and ethics Outstanding instructor who deserves more creditpay,0,0
Science,10/20/2013,It's my life,Lecture slidesaudios are all online  you dont really have to go to lectures Doable online quizzes Take him,0,0
History,12/15/2008,Really into it,This was Developing Worlds this class is turning into internet styled This class is about making the student more aware of 3world countries With that said he is a little into himself and turns class discussions into his own time to show off his knowledge of a country He does put a lot of emphasis on the projects but theyre not that bad,0,0
Anthropology,05/21/2007,Sorta interested,Im currently taking my third class in 12 months with Prof Laden  I love his tangents and I think he is interesting to listen to as a lecturer  I always learn something new and class is never boring  ANHT 1001 with him convinced me to major in Anthropology  Too bad he is leaving after this May Session  I wish I could keep taking his classes,0,0
English,12/21/2010,It's my life,Hes very engaging and LOVES reading the NY novels Very approachable  helpful in office hours He does have a habit of going on tangents lasting for a while IDs on the midtermfinal are from passages he points out in class Exams are reasonable and you can bring an outline Theres a lot of books but the library has many of them on the shelves,0,0
Engineering,10/06/2011,Really into it,Hesla is a decent professor Had him to Deform and Statics and generally you knew what to expect based on what he lectured Super strict on formatting but Id like to think Ive become a better engineer because of it Tests and homework were normally easy even though some were harder than others Fair grader and allaround good guy,0,0
Journalism,05/09/2006,It's my life,GREG DOWNEY FOR PRESIDENT this class is a lot of work but if youre interested you wont mind doing it Greg inspires you to think in different ways Hes the man,0,0
Business,04/10/2014,It's my life,Great teacher Has a great way of explaining hard to understand concepts and applies everything to the real world and the gospel  He also gives great spiritual thoughts in the middle of class to keep your attention  Best professor that I have had so far,0,0
Engineering,05/07/2007,It's my life,The ratings dont lie Freuler is amazing Not only is he a very amusing lecturer but he can make the confusing programming stuff easy to understand Really cares about his students and wants you to do well A bit cocky when it comes to robots but with the overall success of his sections can you blame him63,0,0
Academic Services,06/26/2013,Meh,Totally not interested in the class but Bro Stoddard is cool Laid back approach Doesnt ask much of the students Assignments are easy Lots of good stories from his career as a counselor,0,0
Business,03/18/2014,Meh,Great Class Very helpful and interested in the students,0,0
Psychology,12/24/2010,Sorta interested,He did a great job teaching material that actually applies to life not just things that will apply to the class Tests are hard but they are the only thing that matter so just study well for them Gives very little homework,0,0
Religion,12/04/2012,It's my life,Brother Griffin was awesome  He is a very engaging teacher who obviously cares about both who and what he teaches  He has a recurring set of assignments as well as a few larger projects with strict a nolatework policy  I was surprised by the difficulty of the midterm dont blow his tests off and take good notes IN THE MARGINS of your BoM,0,0
Political Science,12/16/2004,Sorta interested,Great teacher very knowledgable and friendly,0,0
Science,11/07/2005,Low,best teacher Ive had at BYU,0,0
Biology,04/01/2013,Sorta interested,Brother Holyoak is really a nice teacher He gives so much information in class and the class is interestingButyou need to study hard to get an A in his class For the class prep the assigned reading is sometimes very long I felt like this class should be 3 creidts A tip is read the textbook a lot,0,0
Biology,05/19/2013,It's my life,DrCogan is an excellent professor He is responsibleserious and nice guy Every one knows that biochem is hard coursehe can use good examples to explain difficult questions that help students to easily understeandAlso he has a good team for REC I have good experience with ths corse,0,0
Mathematics,11/17/2004,Really into it,Shes a really great prof when you get right down to it She knows what shes doing and will ask enough interactive questions in class to make sure you do too Its good to learn it well the first time especially if youve got a crappy TA Take her if you can She sounds like Ellen DeGeneres,0,0
Psychology,12/11/2008,Sorta interested,AmAZING  Love this class and the teacher  He is really fun and can make the most boring material interesting  He understands how people learn so he applies many different methods to the class so that everyone can learn  BEST PROFESSOR I HAVE HAD IN A LONG TIME  TAKE ANY CLASS FROM HIM  This class would be alot harder with any other professor,0,0
Classics,02/01/2010,Sorta interested,Bro Bay is so awesome Hey is so passionate about what he is teaching and he is so fun He is really interested in helping his students succeed despite the difficulty of the class I would take another class from him in a heartbeat,0,0
Accounting,04/09/2010,Really into it,This class used to be Acc 210 but starting Fall 10 Its called Acc 310 Anyway Heninger is awesome He really wants you to succeed in this class The class is hard though expect to put two or three times the amount of time you put into 200,1,0
Biology,07/14/2011,Sorta interested,Very nice guy The problem with this FDSCI 101 was that it is very broad and the tests were very difficult and ridiculous I would study for hours and still do horrible Brother Carter is a good teacher when he knows the material but most of this coarse was over his head as well as ours The blind teaching the blind,0,0
History,11/02/2005,It's my life,This is the easiest class I have ever taken  You do have to pay attention in class  Hes a funny guy  Its nice that you dont have to buy a book for his class instead he emails you little exerpts that are very specific to the topic  Take him for American Heritage but watch out with his upper level history classes  I hear theyre hard,0,0
Mathematics,11/07/2010,It's my life,Very helpfull instructor Explains linear mappings finite dimensional vector spaces very well Always answers emails i have never seen an instructor more helpful than R Costin I recommend Dr Costin to all students studying dynamical systems her specialty is differential equations,0,0
English,01/03/2012,Really into it,Bro Brugger was an amazing teacher  He challenges his students but he keeps them entertained  There are fun presentations full of pictures and videos  I recommend taking good notes in the margins of your textbook from the beginning  It makes the studying for exams easier  Extra credit is readily available and he curves his tests generously,0,0
Religion,01/04/2012,Sorta interested,I absolutely loved Sis Bensons class I was nervous about taking Book of Mormon but it ended up being one of my favorite classes Shes good at connecting different parts of the scriptures and expressing her love of the gospel especially missionary work Tests are a little hard so go to class and take notes in your BoM to use in the test,0,0
Biology,12/10/2009,Sorta interested,Brother Holyoak is a great teacher Show up of class do your work and it is an easy A The textbook is online but you do use it before almost every class,0,0
Economics,05/09/2012,Really into it,You either love her or you hate her I found her to be a wonderful professor that truly sparked my interest in economics It is VERY important to attend lecture and to take notes Her exams are all multiple choice and are based off the notes she gives in class I found the textbook useless She is an entertaining woman who knows her stuff,0,0
Psychology,02/17/2008,It's my life,Great professor  Very open minded and easy going If you study for the exams know your notes from the lectures well you should do well in the class  I got an quotAquot by doing just that I highly recommend him,0,0
Business,01/25/2012,Meh,Mullins is as good as it gets for stats Her power points are straight forward and clear despite annoying sound effects and her exams are as easy as it gets for math The one difficulty is that the class has not curve so what you get is what you get grade wise If you stay on top of things and study just a little bit you will do fine,0,0
Political Science,12/23/2012,Low,I thought he was hard for a 1xxx level class You had to know a lot to get good grades on the essays Readings were a must for the exam,0,0
Humanities,12/07/2013,Sorta interested,Great professor  Class discussions were very interesting and the workload was not too intense  Just make sure you do all the work and youll do well in the class  If you want a professor who is fun then take this class,0,0
English,02/05/2015,Sorta interested,Brother Merrill was by far one of the hardest teachers I have ever taken a class from That being said if you want a good grade in his class Brother Merrill will give you every opportunity to succeed His papers may be difficult but he is willing to go over them with you If I were not graduating soon I would take him again No doubt about it,0,0
Chemistry,12/18/2009,Meh,THIS CLASS IS VERY HARD AND TIME CONSUMING Got an ulcer from the class But I got an A So if you want to do well you will have to put forth the effort He teaches very clear and explains things almost flawlessly You WILL learn in this class and he WILL prepare you for future science classes Are you willing to do your part63,0,0
Political Science,02/20/2009,Really into it,The class is intellectually stimulating but very challenging Lazy students who dont appreciate academia will probably fail My only gripe is that there were many expensive required readings However I used the OSU library system to get the books and thus didnt spend a dime I wish he had just put the readings online though,0,0
Religion,04/08/2005,It's my life,the man,0,0
Women's Studies,09/01/2008,Low,She is good,0,0
Geology,03/29/2011,Sorta interested,Brother Lovell was really sweet Brought an interesting perspective to the topic,0,0
Religion,12/08/2012,Really into it,Sister Burgon is great I learned a lot from her class and she is so nice The tests are hard but I think that is the case with any BYU religion class The final was easy though so that was good I highly recommend taking your religion classes with her,0,0
Economics,11/20/2013,Really into it,His wording can be weird not a fan of his grading system He can get wordy otherwise a nice guy willing to help Exams typically only 5 questions No multiple choice,0,0
Sociology,01/05/2011,Really into it,I thought the subject matter was extremely interesting and found myself understanding opinions that I didnt agree with before There is required reading and if you dont do the study guides you wont get a good grade,0,0
Music,11/07/2008,Sorta interested,I loved it He has an amazing accent and if you attend the lecture and take notespromise youll be fine The tests were  hard but there are only 2 and they are open book You can take all the time you need Plus if you go to the TA Review before the test theyll go over everything you need to know,0,0
Anthropology,04/18/2006,Sorta interested,She is really smart and lectures extremely well Her tests are all essay exams just a midterm and a final Great feedback on your essays hard but really interesting and fun to listen to with her english accent Do the reading lectures will make tons more sense,0,0
Science,12/18/2007,Really into it,She is a wonderful professor yes she is slightly demanding but she is very down to earth and if you need help with anything she is more than willing to helo you out Also she caters a lot to grades dropping worst 3 quizzes giving 5 points onto every exam things like that Overall great prof,0,0
Information Systems,12/11/2012,Sorta interested,This is a great class I learned so much about networking If you actually read the material before class than everything makes sense when he explains it during class He is really good about answering questions just make sure you ask some or you wont get  the most out of this class,0,0
Psychology,05/25/2011,It's my life,Loved loved loved this class A lot of the facts are learned by reading the textbook but lecture was my favorite Lectures included great realworld applications and spiritual insight I would take this class again and again,0,0
English,08/27/2014,Low,Nice guy with a relaxed personality Very open and down to earth Lectures were somewhat dry especially towards the end In my experience wasnt particularly engaging Very easy class with clear guidelines to doing well Few larger papers I had Lawless as my discussion leader and she completely made the experience a good one for me,0,0
Chemistry,06/06/2014,It's my life,The sweetest Professor I have ever have Always so nice and helpful ,0,0
Biology,12/10/2013,It's my life,Bro Cauble is a really good professor He is very willing to work with the students and to help students out To get a good grade its important to ask questions and put forth plenty of studying to understand the information,0,0
Cultural Studies,03/23/2011,Sorta interested,GREAT professorReally connects classroom learning to what is going on in the outside world  Very helpful Make a point to get to know hershe is a great contact to have and very personableWorking in the community was intimidating at first but a wonderful experience Only wish the class was 4 credits considering the 3 hrs of volunteering a week,0,0
Communication,09/02/2005,It's my life,Bro H is a great teacher who knows what he is talking about  He makes himself available to his students and he even supports them in outoftheclass activities  His assignments are tough but you learn a lot  His final rocks,0,0
Political Science,10/12/2007,Sorta interested,He is so involved in the lesson and makes it fun,0,0
Theology,12/20/2004,It's my life,Great teacher who cares about his students and is knows what he is talking about and is very clear  You grade yourself in a sense,0,0
Chemistry,04/07/2012,Really into it,Stambuli was a great professor  He expected a lot out of us but the exams were really fair and he didnt try to trick us  He has a great sense of humor and jokes and is sarcastic during class  Hes also extremely nice and helpful when approached after class  Take him if he starts teaching ochem again you wont regret it,0,0
Political Science,12/09/2007,Really into it,Attendance is mandatory and dont expect an easy A in this class,0,0
English,06/25/2013,Really into it,best teacher ever ,0,0
Physics,08/25/2014,Meh,Its physics  Its not meant to be easy  I went in terrified worked hard consistently ALL semester and got an AB without prior experience in the course material at all  Dont slack off go to office hours and ALL discussions ask questions and you will be fine  Definitely use your discussions to study for exams,0,0
Political Science,03/04/2010,Sorta interested,Very knowledgable and very fair  People who complain about him generally dont care about public policy anyway  Would recommend this course to any Poli Sci major,0,0
Biology,11/06/2008,Really into it,Sarcastically pleasant presents material in a straightforward way Walks around auditorium Has been known to use slightly crass vocabulary Difficult but comprehensive tests Likes group work and prelecture quizzes Firm believer in Evolution but as far as I can remember he did not trash Creationism in lectures,0,0
Journalism,02/14/2006,Low,Good class with a real client,0,0
Classics,01/07/2014,Sorta interested,What a fun guy  Hes pretty scatterbrained so we didnt get through as much Latin as Id hoped but there really was never a dull moment  If you have to take prose Dressler is the man,0,0
Religion,03/05/2010,Sorta interested,I loved his class Good discussion he knows his stuff Take a religion class from him if you can,0,0
Medicine,12/28/2011,Really into it,A good professor For Phys 335 I thought Lokuta was a much better prof but thats just my opinion Read the textbook to supplement Strangs lectures  I found that to be helpful as his lectures can be fast and a bit disorganized He has an awkwarduncomfortable sense of humor but he is very knowledgeable in physiology and its clinical application,0,0
Sociology,12/02/2013,Really into it,Knowledgable guy but confusing lectures With his age comes knowledge but also forgetfulness when it comes to changing slides Easy in regards to the fact that you dont have to do the readings and the exams are all take home Mediocre class,0,0
Business,09/08/2013,It's my life,Great professor  Really friendly and loves working with students  Class is easy although some test questions can be tricky  No group project and not much outside work so its a nice laidback course  Tim Olson is just such an open and cheerful guy that the class always put me in a better mood  Highly recommended,0,0
Child & Family Studies,12/02/2013,Sorta interested,There is a pop quiz over ever chapter that doesnt always coincide with the assigned reading These are very specific questions that are hard to get right The tests are open book and online very easy However the final is accumulative closed book and in the testing center She takes off points for tardiness and absences You can eat in class,0,0
Engineering,11/07/2013,Sorta interested,Nice teacher who is willing to help when asked and genuinely wants her students to do well Tests arent designed to trick youits just too bad she teaches statics,0,0
Political Science,07/05/2009,It's my life,Tests are hard You must attend class for the material but not required for grade,0,0
Mathematics,03/18/2009,Low,The best math teacher out there He made everything absolutely clear for everyone who doesnt get math Highly recommend him You are allowed  cheat sheets for the exams which pretty much help you get an A or B Practice exams are practically identical to the actual exams,0,0
English,04/12/2013,Low,Very helpful Very clear instruction and a genuinely kind professor She really cares about her students,0,0
Psychology,03/22/2010,It's my life,Love this teacher i took child psych with her and loved it so much i took adol psych The class can be difficult if you dont take the time to work but if you follow her suggestions and use good study habits you will surely succeed i found her assignments and her testing fair and appropriate I strongly recommend this teacher,0,0
Physiology,04/19/2012,Low,Rachel Tomco is literally my hero  So honored to take a class from her,0,0
Political Science,12/17/2014,It's my life,Extremely intelligent on the subject of international politics and a really good lecturer breaks down complex ideas in a way that is easy to understand Weekly quizzes and reading questions based on long dry readings though If you put in the work and time you will learn a lot Most of the course grade was based on a semester long researc project,0,0
Chemistry,04/07/2011,Really into it,Brother Rawlinson is the man He is extremely fair He really tries his best to be a good teacher There is homework each day Quizzes on every chapter and a test every two chapters All of the tests are based off your understanding of the concepts taught If your looking for a good Chem 105 teacher this is your man,0,0
Psychology,12/19/2008,Really into it,Ben is an amazing teacher He genuinely wants his students to do well in the class and I can tell really likes teaching I HIGHLY RECOMMEND taking this class over the huge lecture MWF even though it is a night classI know people who took that and struggled with every single test Do the study guides go to class do the journals  ull get an A,0,0
Sociology,01/04/2007,Really into it,dont even buy the course packet i read every single word in it and spent so many hours reading it but you dont need to know anything from the readings and now with the podcasts you dont even need to attend i hated my TA but there was an easy TA one of my friends had which basically gave his students the test qs so that helped a lot,0,0
Religion,01/06/2007,It's my life,I was in a smaller honors class so it was more of an interactive discussion in an awesome way  I loved going to class and learned so much  His lectures are amazing  I couldnt write fast enough to get down all the stuff I learned  The tests are a little tough though but he doesnt make them impossible  Have a good time in this class,0,0
Business,04/17/2014,Low,Dr Brau is the best professor I have had at BYU The material in the class is a bit difficult but the system Brau has set up is wonderful and will get to really master the material If you go to class take notes and do the homework completely and correct wrong answers and A is very doable,0,0
Mathematics,01/21/2010,Low,Fun teacher Really enjoyed his class,0,0
Psychology,01/29/2006,Sorta interested,This is an excellent teacher  He expects a lot from students but hes fair and always willing to answer questions  People who want an easy class should go somewhere else but people who want an education should come here,0,0
Theater,08/12/2014,Sorta interested,Professor Wilkinson was a great teacher and helped me accomplish thing I didnt know I could in public speaking He made it easy to stand up in front of the class with confidence and give your speeches none of the speeches were impossible to do and were all very fun,0,0
English,06/13/2011,Low,Best professor I have ever had,0,0
Economics,03/06/2009,Sorta interested,If youre looking for a class that will teach you real world knowledge and how to understand the confusing parts of the Wall Street Journal then take this professor This class is very rewarding if you put forth the effort to apply yourself Everything you learn in this class is applicable to real life and hes more than willing to help you learn,0,0
Geology,04/13/2010,Meh,You can tell he loves his subject I liked how he presented controversial subjects in a nonbiased way Just take good notes in class and fill out his study guide and its an easy A,0,0
Political Science,05/18/2006,Really into it,Awesome professor who makes lectures really fun  Just make sure you go to lectures since most of the test material comes from them,0,0
Science,03/23/2006,It's my life,Very good class and very good professor  I was almost tempted to change my major after taking Weather and Climate with Professor Martin  I would highly recommend taking this class with Professor Martin,0,0
Psychology,04/19/2006,Really into it,He was very funny  I liked his explanations and examples  He made the material easy to remember  His tests werent too bad  The section on the brain was confusing but overall he was very good,0,0
Accounting,11/16/2011,Sorta interested,Greg professor He really cares about his students The material is extremely difficult but he tries his hardest to show that he wants to help Nice guy,0,0
Church History,04/25/2008,It's my life,One of the most amazing teachers at BYU  I loved his class and learned so much  He is great,0,0
Languages,11/30/2010,It's my life,Adriana is the best teacher Ive ever had hands down  it doesnt get any better  she is a sweet person but is also extremely effective at teaching spanish and improving your fluency  I have learned SO much from her  if you have the opportunity to take her class dont miss it,0,0
Religion,08/01/2006,It's my life,I would take the class again for no credit if I could  She is incredible and has helped me feel so much better about life and my potential  I learned tons about the scriptures from her,0,0
Fine Arts,11/29/2004,It's my life,Hes a great teacher,0,0
Religion,03/25/2014,Really into it,VERY informative  very interesting Yes you had to work hard to keep up but there was SO much interesting information to learn it really made my study of the scriptures come alive because I felt  maybe for the first time  that there was some deeper scholarship that goes along with the Standard Works Not just your Sunday School answers,0,0
Religion,11/12/2013,Really into it,Brother Sackett is amazing Teaches with the Spirit and that is what counts There has not been one class period that I havent left feeling edified and filled with the spirit I have learned so much in his classhe keeps it interesting by changing his lessons up and really focusing on what the students need You will not regret his class at all,0,0
Business,12/13/2014,It's my life,Yes he is very difficult but he truly cares for his students and makes you learn not just from a financial perspective but also from a life perspective He is willing to go above and beyond for his students for example he adapted all the exams to be taken online and said that in the upcoming semesters he will allow via excel not calculators,0,2
