dept,date,interest,reviewText,helpcount,nothelpcount,label
Chemistry,02/12/2009,Really into it,EASIEST PROFESSOR EVER  no need to go to lectureread the book ectjust memorize his notes and you will get an A without a doubt  absolutely love himand hes incredibly nice and helpful if you go to his officce hours,0,0,1
Music,06/08/2006,It's my life,Ive taken from this professor three times because he is such a great teacher His tests are really hard but once you get the hang of them they arent He is detail oriented because thats what music is detail oriented I love this professor,0,0,1
Business,09/04/2010,It's my life,This was a statistics for managers class  The material is hard and he doesnt go easy on you If you have a good math background you will find this professor very rewarding If math is not your forte  you may want to avoid this teacher,0,0,1
Engineering,05/02/2008,Sorta interested,Interesting easy class Dr C is a funny old guy with dumb jokes whos probably been teaching this class the same way for 40 years I like him Go to class most of the time skim the book sometimes try doing the homework without the TAs if you actually want to learn and ALWAYS use the exam files Not very difficult,0,0,1
Chemistry,12/30/2013,It's my life,She is a very kind professor and has a great sense of humor she does a lot of fun demonstrations with the class Her tests can be very hard and I spent ridiculous amounts of time studying through the entire semester only to get my first B As a senior who already has two degrees Tough class,0,0,1
History,12/31/2005,Really into it,Great teacher Teaches well funny and makes class interesting You do have to work though,0,0,1
Mechanical Engineering,05/15/2013,Sorta interested,Best professor I have come across yet at OSU  Does an excellent job breaking down very difficult information and problems  Genuinely cares and wants to see students succeed  And has the best chalk board skills ever,0,0,1
Computer Science,01/16/2015,Really into it,Deb is a great teacher she does a good job of explaining the material and cares that students succeed,0,1,1
Political Science,06/08/2009,It's my life,He is really great makes lectures interesting and fun Seems quite scary at first and its important to try hard he doesnt grade easy Definitely worth working hard to experience a class of his Learned a ton,0,0,1
Sociology,05/03/2006,Really into it,All tests are on Blackboard open book Extremely easy A Lectures most of the class isnt uptight Rad teacher overall,0,0,1
Child & Family Studies,12/20/2006,It's my life,He is so cute and enthusiastic about his job I LOVED IT He is a little confusing on assignments but he is a great teacher over all very passionate,0,0,1
English,10/21/2004,Sorta interested,What a brilliant informative and kind professor  Her class is one that I look forward to due to her knowledge capacity  This is what a professor should be,0,0,1
Psychology,04/14/2009,Sorta interested,She is very passionate about behaviorism and really tries to get students to question their previous beliefs  The hardest part about this class is putting in enough time in the lab,0,0,1
History,11/09/2011,Sorta interested,I loved the passion that Prof Guy showed for her topic She painted a vivid picture of the past of Argentina incorporating far more than just the political aspects My one complaint63 Some of the reading assignments were massive and ohsodry FYI midterm  final are takehome but written wvocab IDs and essay prompt 610 pgs altogether,0,0,1
Business,04/16/2014,Really into it,Great teacher Very energetic and organized Great at motivating his students,0,0,1
Economics,12/02/2005,It's my life,I really liked Dr Showalters class Hes really funny and his lectures stick to the text for the most part The class moves very fast because theres so much material to cover since BYU combines micro  macro material into one semester Theres quite a bit of work but its bearable A good alternative to taking Kerl,0,0,1
Chemistry,03/31/2009,It's my life,HE IS REALLY NICE AND DOES A LOTTT OF DEMOS IN CLASS EXPLOSIONS INCLUDED,0,0,1
Engineering,12/05/2008,It's my life,The best professor ever,0,0,1
Philosophy,12/18/2008,Really into it,Took this class over the summer was interesting and Russ is a knowledgeable and captivating speaker Tests are okay lecture extremely important to go to Learned a lot in this class and would recommend it Over the summer didnt have homework just a quiz and two tests not sure how it is for a semester Good class takes some effort to do well,0,0,1
English,03/14/2012,Really into it,Great teacher great class I learned so much from this class and most of the time it was really interesting It seems like a lot of work but it is pretty easy to handle He is willing to look over the papers you write as many times as you want until the due date so you can get a good grade of you want one,0,0,1
Music,12/25/2013,It's my life,Fun fair cares about you as an individual Teaches principles that apply to life One of my Favorite quotes of hers That chord that we just sang needs to go back to WalMart or K Mart or wherever it is that you picked it up Do yourself a favor stay focused find your head tone pay the extra and get a better sounding chord from Nordstroms,0,0,1
History,05/10/2012,Sorta interested,Great professor very fair with grading You must talk to the TAs about your papers Go to class you miss too much if you dont Make a google doc early for the study guides HE provides and get a couple people to fill out definitions This made tests a breeze I got a 100 on the final doing just what Ive outlined,3,0,1
Religion,12/15/2006,Sorta interested,This guy is so very very easy  It was extremely boring but he practically did all the homework for you and never really had due dates  You could always turn things in late  The tests are taken in class which is nice  He tries to be funny but really isnt  Hes a sweet old man nonetheless Take it if you want an easy class,0,0,1
Computer Science,06/18/2010,Really into it,He is a very soft spoken person  His midterms are based off of the homeworks and activities in class  They are generally easy  Labs arent too hard just start early  Posts the slides to Carmen  I was expecting a B or B and got an A,0,0,1
Social Science,10/27/2004,It's my life,A teacher who understands students at their level and cares about them on a personal level I took his class at night and thought it would be hard to have a night class but he kept my attention the whole time His class is work but you learn so much Amazing teacher,0,0,1
English,09/20/2011,Really into it,Professor Scandura brings interesting and engaging ideas to light She allows students a lot of freedom in pursuing projects which interest them personally If you like to be challenged intellectually take her classes or read her books She is elegant sophisticated and witty a native New Yorker Dont be scared,0,0,1
Psychology,01/17/2005,It's my life,Took a May session seminar on sexual orientation with Chuck a couple years ago  awesome guy very introverted but can really let loose once the class is over and he gets together for May reunion drinking  We love you Chuck,0,0,1
Languages,01/21/2014,Really into it,I loved this class It was really easy and really interesting The lectures were always so interesting and the movies which were selected were always really good I highly recommend this class and professor,0,0,1
Chemistry,05/29/2012,Meh,He had simple quizzes to pad your grade if you did badly on an exam He was also extremely helpful and even held mock exams to ensure his students did really well,0,0,1
Art History,11/06/2010,Really into it,Swensen is awesome He makes class interesting and the study guide definitely helps on the tests I wasnt interested in art history before but after taking his class Im thinking about taking another art history course next semester You definitely wont regret taking his class,0,0,1
East Asian Studies,09/13/2006,It's my life,soooo funny,0,0,1
Political Science,11/17/2005,It's my life,His name is actually Jeff  He has an uncanny ability turning a boring topic into something worth looking into  He is not the easiest prof but he is very willing to help students achieve the grade that they desire,0,0,1
Political Science,05/06/2005,Really into it,shively is a great teacher and really knows his stuff  His tests IDs can be extremely long  Its work but you learn from it which i guess is what you are paying for  Very accommodating with test dates papers are usually due by 12am that day extremely flexible  Great Prof,0,0,1
Computer Science,03/31/2010,Low,This class was very difficult for me but Professor Roper was definitely willing to help  Do not get behind on labs  I am getting a failing grade because I got behind and also because I cant understand what he is talking about during lectures,0,0,1
History,09/02/2013,Really into it,Through the readings  the lectures he gave Prof Hempson really made this class interesting  stimulating  He managed to address any issue students encountered and was always shedding an unseen or uncommon light on events  Thus triggering genuine interest in his students in his class  This class was one of my favorite at OSU for these reasons,0,0,1
History,12/19/2011,Really into it,I didnt think I liked ancient history until this class He made it interesting and knows a TON  Hes really funny and friendly if you are lighthearted  The only thing that I didnt like was how much getting an A depended on the final In previous years hes given optional projects but didnt offer those and it was scary Study is mandatory,0,0,1
Chemistry,04/04/2010,Low,Funny teacher He seems serious at first but you will understand He is very helpful after class and during office hours This was the most I studied for a class during my second year but it helped me with the other Chemistry classes Recommended,0,0,1
Psychology,05/15/2013,Really into it,Great teacher He is clear and very helpful Just understand that the tests are based on the concepts and that the calculations in class and the homework are to help you understand the concepts If you can get that then youre set,0,0,1
Political Science,02/06/2005,Sorta interested,He expects a lot out of his students and the class is really hard but hes the best professor i have had and he is very available for questions as long as you dont wait until the last minute,0,0,1
Sociology,08/05/2008,Really into it,Stephen  he B da man Over da top  de bery bestest One cool dude Viva Marx,0,0,1
Mathematics,02/01/2014,Really into it,I loved the way he taught He first explains the basic concept then proceeds to provide numerous examples as to how to solve different equationsscenarios I rarely needed to read the book other than doing hw problems because the lectures were clear as to how to solve the problems Overall he did an excellent job,0,0,1
Political Science,12/04/2012,It's my life,Professor Pevehouse was one of my favorite professors of the semester He was extremely knowledgable and the power lectures went by very quickly He coauthored the textbook so reading it definitely helps clear up any questions from lecture Exams are relatively easy and most of the info is obvious Go to section and its impossible not to do well,0,0,1
Psychology,10/23/2013,Sorta interested,She is very helpful  I went to get some assistance with why my tests were turning out the way they were and she was happy to meet with me and spend time going over each and every question and assessing why I got that question wrong,0,0,1
Mathematical and Computer Sci.,03/06/2009,It's my life,I absolutely loved Brother Camerons class He did a good job at getting to the point if we were all ok and understood the concept he would let us out early just about everyday   The work was not too hard and he would tell you exactly what would be on the tests Very funny guy and made class enjoyable,0,0,1
Political Science,01/18/2005,It's my life,Never a dull class with this professor  Youll learn as much sports trivia as you do about the law  No topic is taboo and his sense of humor is infectious,0,0,1
Cultural Studies,06/07/2011,Really into it,A great professor with really interesting lectures and a good sense of humor  Even his tests have a sense of humor,0,0,1
Philosophy,11/05/2008,Sorta interested,I like Christensen I thought he gave a little too cursory of a glance over topics but then again this is an introduction course Hell speak with you afterwards and not brush over topics too quickly  I really like that he opens up the philosophical arguments for our rebuttal  Good guy,0,0,1
Communication,11/14/2013,It's my life,They need to make one of those inspirational movies about sis J You know those movies where the teacher really cares about her students and the topic shes teaching Sis J is seriously my favorite teacher Shes so inspirational theres a lot of work but she really makes you want to work hard She is simply AWESOME Everyone loves Sis J,0,0,1
Chemistry,11/28/2007,Really into it,He is a very good professor As people have said before he loves what he does and he teaches it just as well The demos are fun and keep the sleepy ones awake I enjoyed his corky humor as well as his enthusiasm However it is a difficult class no matter who you have But all the other professors subbed in at least once and they are all good,0,0,1
Languages,08/22/2012,Really into it,Im not a Frenchspeaking RM but I found this class relatively easy Theres a lot of busy work but we didnt turn it in until the end of the term so there was plenty of time to do it as long as you kept somewhat on top of it This is basically a review of everything youve learned in previous French classes,0,0,1
Engineering,12/20/2005,Sorta interested,Great teacher My favorite in the chemical engineering department,0,0,1
Sociology,11/27/2012,Really into it,Brother stokes is an awesome teacher His class is based on personal responsibility not the typical hold your hand busy work class The class topics are interesting and it is not hard to prepare for his tests They are write on fill in the blank and he tell you everything you need to know for them Take him for all the sociology classes you can,0,0,1
Political Science,12/31/2007,It's my life,Chris makes Poli Sci very interesting to anyone He expects his students to be wary of current events as he uses the current world as examples for all his material The class grade is based on a policy memo a research paper and two examsfor which there are study guides provided He is great and attendance isnt mandatorybut youll miss notes,0,0,1
Psychology,11/14/2011,Sorta interested,Very interesting class although Ingrids lectures can get slightly dull However she is a GREAT teacher She is flexible grades fair and gives out a ton of extra credit opportunities The work load is fair definitely not too much highly recommend this teacher,0,0,1
Astronomy,04/24/2007,Really into it,Fun easy teacher Basically what everyone else says Nice guy good class,0,0,1
Business,01/28/2013,It's my life,Mark is my favorite B school professor I looked forward to going to lecture every week He is the nicest guy and very knowledgable about his field with so many interesting relevant anecdotes He has a great sense of humor and doesnt make cold calls feel uncomfortable at all Exams are simple and straight forward TAs are super nice as well,0,0,1
Business,04/14/2014,Sorta interested,Professor Brau is a great teacher and an even better guy He cares about the students and does his best to help Utilize the help test and TAs Not an easy class but doable with the right effort,0,0,1
Psychology,05/06/2009,Really into it,He is a very good professor and he uses lots of examples in lecture to help understanding However if you have a specific question definitely go into office hours instead of trying to email him because he is not very good about answering emails,0,0,1
Chemistry,10/10/2006,Really into it,Good instructor Fairly easy to get a A if you put in the work doing every single exercise that have solution in the back of the book,0,0,1
Music,12/12/2014,It's my life,Dr Boone is an outstanding professor His history of Rock and Roll class completely changed my life and the way I perceive all types of music You should want to go to the lectures This guy is so incredibly smart and knowledgeable about what he teaches Hes also extremely talented and plays instruments piano guitar etc in the lectures ,1,0,1
Mathematics,06/11/2012,It's my life,Hes amazing and answers any questions he even emailed me a whole explanation for one question I had,0,0,1
Political Science,12/05/2004,Low,He really knows his stuff  Lectures were always interesting my favorite was when the kindergarteners visited and got to ask us questions about college and tests were fair  Poli scis not really my thing but the class was quite enjoyable,0,0,1
Management,04/22/2009,Low,Great teacher willing to work with students  Easy grader  Learns all the students names as fast as she can about four class periods  Take this class from her as she makes the required workload much more manageable I had friends in other sections who had to do MUCH more work than I did  Plus shes fun,0,0,1
Geography,04/03/2009,It's my life,He has his own very interesting approach to teaching by this I mean that he uses different ways to teach He is very fun He narrows down the stuff you need to know for the tests Hes very fair with grades,0,0,1
Chemistry,11/14/2012,It's my life,chill bro the burns are hawt,0,0,1
Languages,07/05/2006,It's my life,I took this class even though I had passed the AP to get into 225 and am very glad I did  Megans class really made the language quotsink inquot and never before was I confident to speak up in class,0,0,1
Mathematics,11/14/2013,It's my life,If you are in Professor Rogness class then you are literally blessed His lectures are extremely clear and wellorganized Midterms and quizzes are relatively easy if you spend quality time doing and understanding the homework these sometimes are really hard but worth the trouble,0,0,1
Chemistry,06/08/2009,Really into it,Good professor and overall a really nice guy  Dont be afraid to ask him questions he is really friendly  Exams are very similar to homework sets  Homework sets are very timeconsuming start on them the day they are distributed  Handwriting is pretty poor youll need to sit close to the board  Overall a positive experience,0,0,1
Religion,12/06/2012,It's my life,This man is AMAZING INCREDIBLE professor I would take every class from him if I could,1,0,1
Communication,02/17/2005,Sorta interested,If you go to class youll have absolutely no problem doing well on the exams,0,0,1
Mathematics,11/07/2014,Sorta interested,Great Professor Probably one of the best at the University right now Really friendly motivated clear lectures and very clear expectations with difficult but fair exams He makes you work but want to If I were given the choice between him and another prof for the same class I would hands down choose Erman I hope he stays at Madison ,0,0,1
Fine Arts,04/11/2005,It's my life,Great class great instructor,0,0,1
Languages,06/11/2006,It's my life,Great Italian Always prepared for class,0,0,1
Religion,10/25/2006,It's my life,Gaskill is hilarious If you are able to fall asleep in one of his lectures you have really accomplished something If you are one of those easilyoffended though no one ever admits they are people dont take this class bc hes very sarcastic The only hard part of the class is the paper but that really helps you learn a ton,0,0,1
Biology,02/28/2013,It's my life,Excellent and passionate professor he is extremely willing to help you out in class He really inspires you to think and learn in his class,0,0,1
Nursing,12/19/2011,Really into it,Professor Lundberg is sweet Shes personable and really helpful This was just an intro course so it was way easy You just show up to class and write a few papers for a block and then youre done,0,0,1
Accounting,12/17/2014,Really into it,Brother Saathoff is rad The class isnt super exciting but he is a good teacher ASK QUESTIONS he will answer them for you and make sure you understand Lectures are boring but he covers EXACTLY what is on the tests and homework I already signed up for another class from him next semester ,1,0,1
Ethnic Studies,11/05/2009,Low,Sometimes sitting through the lectures was brutal but Professor Frank is one of the nicest professors in the university His knowledge of Judaism and its history is unreal Attendance isnt mandatory as he usually provides a study sheet for examinations,0,0,1
Biology,12/16/2010,Really into it,Awesome teacher EXTREMELY helpful Makes class interesting Gives extra credit and 5 bonus questions per test Amazing teacher,0,0,1
Social Work,04/19/2008,Really into it,Ive taken two classes from Jay now the other was Social work Groups  he is a very fair teacher who likes to teach by experience rather than by the book and numbers  I was able to learn more applicable knowledge in his classes than the typical memorization of fact  A great teacher if you have a chance,0,0,1
Philosophy,11/14/2007,Low,Great teacherapproachable friendly and explains all material very well,0,0,1
Computer Science,04/07/2011,Really into it,Gave a lot of EC At least when you teaches this class he gives a lot of cool labs The other profs dont give labs Just boring homework I did learn a lot in this course,0,0,1
Communication,07/15/2013,Really into it,Sister Waite is my favorite Please take her class I was nervous about public speaking but she made it so easy and comfortable She is so fair and nice Loved every class time She creates an atmosphere where people feel comfortable Ill have friends from that class for years to come,0,0,1
Business,04/07/2014,Sorta interested,I really enjoyed Brother Braus class he did a great job He did a great job explaining the material in a way to make sure we understand the concepts not just how to do a problem I liked finance a lot more than I thought I would thanks to his teaching style,0,0,1
Physics,12/09/2008,Sorta interested,Great Professor who will only teach you what you need to know and make class entertaining in the process Highly recommended,0,0,1
Biology,07/22/2013,Sorta interested,Brother Young taught my lab for Bio 265 and he is the best lab teacher I ever had He is very knowledgeable and it reflects well on his students because he is able to explain the concepts He wants his students to excel and encourages them to study He is very willing to help all throughout lab I recommend him,0,0,1
Fine Arts,04/08/2013,It's my life,Sister Haddock is my favorite teacher She teaches in a way that really raises your level of thinking She has the best interest in mind for her students The lectures are always engaging and she is very funny She does a great job of bringing the Spirit into her lectures while teaching on any topic If you can take humanities from her do it,0,0,1
Geography,08/31/2006,It's my life,Prof Harris is an excellent and totally engaging prof  She loves what she does and is one of the better profs ive had,0,0,1
Communication,10/30/2009,It's my life,Hoops is a God amongst men  Loved this class and it was a breezeif youre into it,0,0,1
Biology,12/19/2012,Sorta interested,Blair has extremely lively lectures that follow directly from his quirky personality  Hes very approachable and very helpful when it comes to getting your questions answered  As long as you go to lecture and spend at least a little bit of time studying his exams are very easy  Overall Blair is a great professor,0,0,1
Physics,12/06/2009,Really into it,I learned more physics in the first six weeks of this class than I did in an entire year of AP Physics in high school Its a hard class but she is good at explaining the material,0,0,1
Accounting,11/06/2008,Sorta interested,Brother Blanchard is a great teacher who REALLY knows his stuff  The class is hard its an accounting class what do you expect63 but very useful  I disagree with those who say that tax is boring  I actually walked away liking tax,0,0,1
Chemistry,01/03/2007,It's my life,His class was harder than any other ochem 251 class Take notes in lecture understand the material go to office hours only do his problem sets and book problems HIS EXAMS ARE HARD I studied the hardest in his class than Ive ever studied in my life and I got a C There was NO CURVE because of all the honor  ambitious premed students,0,0,1
Religion,12/08/2010,Meh,Good teacher knows what he is talking about If you go to class and read through the notes you should be fine,0,0,1
Science,01/03/2011,Really into it,I found Judds comments very interesting and even though he does read from the power point they are very informative and clear I found that I knew the material better than other sections,0,0,1
Biology,09/12/2014,Sorta interested,Best hair on campus Seriously he is still rocking a mullet so clearly a chili pepper for this dude Also the best teacher Ive ever had He cares about the material provides excellent examples tells personal and relevant stories about the material and teaches it well Take this class to fulfill your gen eds You will not regret it,1,0,1
Chemistry,01/13/2013,Low,My favorite teacher of the semester Probably the best hand writing you will ever have from a professor Really helpful if you go to office hours Super nice guy Dont take his class if you cant handle a curve with a 60 as the average,0,0,1
Sociology,03/21/2010,Low,Really easy class if you go to the lectures youll get an A He also doesnt require a text book which saves a lot of money,0,0,1
Music,12/15/2007,It's my life,I absolutely love the wonderful and uplifting spirit that Breamhead aka the Broomface brings to class  Hes full of humor and energy  I know that he loves us  His comfort zone assignments helped me to grow as an individual  Not to mention my singing and technique has drastically improved  I am so stoked for semester 2,0,0,1
English,12/22/2008,Low,He is easy but fun It was an interesting course and Im glad I took it Show up do your work easy as pie Mock trial was fun ,0,0,1
Humanities,12/02/2012,Really into it,I think he spent too much time on the spirituality aspect of art than on the actual art Hes not selfrighteous or anything but it gets annoying after a 2 hour lecture on the prodigals son Id advise you to write a LONG paper He wont read it hell just grade it on length,0,0,1
Finance,04/05/2005,Sorta interested,Great TeacherEasy Class if you go if you do not attend class it is average in difficulty Involves mild amounts of math,0,0,1
Economics,11/02/2007,Sorta interested,One of the best teachers Ive had so far He was always glad to answer questions and provided helpful examples in class,0,0,1
Theater,12/10/2012,Meh,Dr Dekker is a nice professor and seems to enjoy what he teaches He likes to throw in funny videos during lecture which keeps things interesting Exams are easy and straightforward as long as you attend class,0,0,1
Spanish,10/23/2006,It's my life,Kristin was a really great teacher She has a lot of energy and makes getting all those attendence points not so bad She is cool with grades too,0,0,1
Psychology,12/26/2010,Really into it,I loved Dr Henriques He is super passionate about psych and he makes lecture really interesting I had heard bad things about psych 202 but it was actually my favorite class Henriques is funny and helpful and if you go to class  study youll do fine I suggest Henriques to everyone He inspired me to pursue psychology,0,0,1
English,06/12/2010,Sorta interested,A fair grader open to class suggestions and questions and has a very wittydry sense of humor  Overall I enjoyed being in his class because he  emphasizes learning the material before having a good grade in the class,0,0,1
Computer Science,12/06/2011,Really into it,excellent,0,0,1
Theater,12/23/2014,Really into it,Coach Witt is definitely qualified and is caring and wants the best for you  I did notice however that while she has many great speeches and good advice I felt that sometimes she lacked inner confidence  required the classs approval in order to feel validated Enjoyed giving my own speeches once a week thats where I learned the most,0,2,1
English Language & Literature,01/08/2007,Really into it,Really good teacher easy very helpful  Highly recommended,0,0,1
Religion,02/02/2012,Really into it,she is amazing Her class is difficult but shes extremely passionate about the subject and is so willing to help you out if you go talk to her Shes interesting and kind,0,0,1
Chemistry,10/15/2013,Meh,Great teacher I never really studied for exams but have always gotten above average  He is extremely willing to help with any problems you may have As long as you take notes and actually pay attention during lecture youll be fine Read the textbook in addition esp before exams it helps I wish I could take him for 1220 I recommend his class,0,0,1
Social Science,12/16/2009,Sorta interested,SUCH a great class great subject matter but also prof nelson is AMAZING really makes you think take it from him if you can and class is usually pretty interesting grade is only from 3 papers and 4 tests was pretty easy i thought to get an A,0,0,1
Chemistry,03/29/2005,Really into it,I love Dr Callam He is very helpful in lecture and walks the labs He is hilarious and he pretty much knows every one of his students which is crazy since he teaches several large lectures at a time Just doing all the homework problems which is not much will get you and A on the midterms,0,0,1
History,11/15/2007,Meh,Hated history before I took this class Was really hesitant about taking a night class as well but it was impossible to fall asleep because writing in the notebook is mandatory and not that bad  The tests were easy and the notebook was really helpful  I didnt like the group discussions online but other than that it was a great class,0,0,1
Anthropology,12/04/2011,Sorta interested,Cool class always had a break in the middle  Asks alot of qs in class so its not all lecture,0,0,1
English,11/15/2010,It's my life,Really amazing teacher She helps you learn what you need to in a very fun way,0,0,1
Anthropology,12/09/2008,Sorta interested,Very fun professor she really knew what she was talking about and came to lecture very prepared with well puttogether powerpoints that were easy to follow The test was very fair and not hard if you read the book and go to lecture Overall great professor,0,0,1
Music,10/17/2012,It's my life,Mike Leckrone is a legend He dedicates his life to this university and has for the past 44 years He has presented me with more opportunities than I would have ever dreamed of having and he inspires me every day to be the best that I can be Sure being in the marching band may be hard but if it were easy anyone could do it,0,0,1
Economics,03/29/2010,It's my life,Good class She presents good examples in class that help to understand homework She also does a good job applying the material to the real world,0,0,1
Biology,05/21/2006,Really into it,I was somewhat interested in the topics that he taught in before entering his class  But he was an excellent lecturer and greatly stimulated my interest in these topics,0,0,1
Chemistry,03/26/2014,Low,He is extremely enthusiastic about what he is teaching While this can be good sometimes he gets too into his lectures and goes really fast to the point where you cant understand him But he is more than willing to help if you ask for it His tests are moderate I would definitely recommend him for chemistry,0,0,1
Engineering,05/22/2008,It's my life,wow best prof ever If you introduce yourself to him hell remember your name His lectures are interesting He is very helpful approachable knowleldgeable communacative etc I cant say enough good things about him Take his course now,0,0,1
Biology,11/09/2006,It's my life,professor booth is passionate about biology and it shows in every lecture  sometimes he is unclear but he has a very good notebooksyllabus that follows along with all of the lectures  i never used the book because i could learn everything between lectures and the notebooksyllabus  he is a great man helpful and caring  but it isnt all easy,0,0,1
Religion,03/21/2011,Sorta interested,Really liked this teacher Yes the class can be a little boring at times but if you pay attention u can find a lot of funny stuff esp when he gets off topic Easy class You go in and copy notes  discuss He also has practice tests online before every test and he lets u retake it if u fail If u listen  review its an easy A learn a lot too,0,0,1
Languages,12/17/2009,It's my life,ACL is a wonderful professor I took  her Intensive 10 cred Spanish class and every morning she was always upbeat and eager to teach You cant slack off with her but you will learn a lot and shes always willing to help with whatever you need One of my favorite teachers ever Take her ,0,0,1
Business,09/07/2012,Sorta interested,Dr Greathead has been one of the most inspirational and forthcoming professors I have ever had  Every class was intellectually stimulating and every assignment was tailored fit to help us apply the knowledge of the curriculum,0,0,1
Classics,09/01/2010,Really into it,I feel the need to disagree with these bad ratings Professor Mckeown really enhanced my latin experience  He wrote the text and is very passionate in his work  All the TAs adore him and have fun joking about him and the students do too  He really cares about his students and goes the extra mile to help them out  You wont regret his classes,0,0,1
Natural Resources,08/16/2010,It's my life,A great prof both in and out of class Knowledgeable with contagious enthusiasm about subject material and very approachable Also a helpful and insightful research adviser who thinks outside the box and helps students explore their own interests,0,0,1
Mathematics,03/17/2012,It's my life,Bobby is an amazing prof Even tho he hasnt taught 153 that many times in the past he was REALLY clear  helpful Kinda goes fast in lectures so u have to keep up Posts past tests on Carmen with answer keys assigns only 3 hw probs out of the book each week If u spend enough time doing assigned probs and go to lectures u should be fine,0,0,1
Mathematics,05/27/2009,Low,She was an awesome teacher Explained anything more clearly if you ask Her tests questions come directly from homework She made everything really interesting and fun to learn,0,0,1
Geology,05/02/2006,Low,This guy is hilarious Very organized thoughtful and helpful Provides half notes and study guides which makes life so much better Class is always enjoyable and he does a good job making every day a little different Id definitely a class from him again,0,0,1
Mathematics,03/25/2008,Sorta interested,He spends a ton of time saying quotreally this isnt that hardquot quotits really simplyquot  and then gives abstract and hard quizzes Our class would get the quizzes and everyone would just sit there The examples he gives in class are normally very basic  Yes he does speak perfect English  Im not so sure about the the being hott part though,0,0,1
Chemistry,12/18/2014,Really into it,Dr Callam is the best professor I have had at Ohio State  Great lecturer and gives you all the resources you need to succeed  If you are willing to put in the time and take hard tests Id recommend him,0,0,1
History,12/18/2011,Low,There is a lot of reading 1500 plus pages but youll learn a lot Richard is very sharp and will give you a good grade if you try hard Take this class if your purpose of attending college is to learn something and not just get easy quotAsquot,0,0,1
Economics,03/27/2010,Low,I loved this class As long as you read the book and do the work you will easily pass this class What I loved the most was that while the class was very easy I also learned a lot I actually love Economics now haha I also took 112 from him,0,0,1
