dept,date,interest,reviewText,helpcount,nothelpcount,label
Psychology,11/21/2005,Really into it,lots of studying,0,0,1
Biology,12/15/2005,Meh,Had a good time in class though lectures are long and boringIf you take it at night he WILL keep you til 9,0,0,1
Biology,12/05/2008,Really into it,Shes super nice and really easy to talk to  My class had 8 people in it so it was very personal  You do have to take notes in class but she writes on the board so its easy to follow  Tests are very fair and easy if you studied sufficiently,0,0,1
Agriculture,11/16/2007,Really into it,Zerby is by far my favorite professor  He enojoys what he teaches which makes class fun  His classes require a lot of outside study and review which you may hate but find a year later that you actually still know the material  He is hard to get ahold of outide class but is alwa willing to help out whenever he can to clarify a topic for you,0,0,1
Religion,12/11/2006,Really into it,This class was awesome But it IS a LOT of work I usually dedicate AT LEAST five hours of straight hours studying before taking any of his tests or quizzes But he sticks to the doctrine not the nitpicky stuff and he has lots of fun anecdotesdiscussions He knows a lot about the Book of Mormon too and that always helps,0,0,1
Biology,08/26/2008,It's my life,Great professor Makes a long night of lecture entertaining Has many hilarious stories about his wife Overall cool dude,0,0,1
Computer Science,04/02/2011,It's my life,I was in the same class as you How were the exams tougher because it was open bookopen notes636363 The questions were much easier than the HW and were right out of the notes if you came to class He even had a problem right from the HW where he gave you answers Did you come to class636363,0,0,1
Marriage Family & Human Dev,04/02/2013,Really into it,Very good class to take Brother Day takes a very different approach to his class in that he focuses more on critical thinking and application of thought He has only 2 tests both of which are long essay and they are practically the entire grade Tough class but I learned so much from it and Im glad I took it,0,0,1
Business,02/21/2013,It's my life,Awesome strategy class  now teaching at BYU Hawaii  He says that students learn through action not lecture or war stories  Which is funny cause he has some hilarious war stories  Simulation is a blast and feel like I am finxally learning something for once,2,0,1
Chemistry,03/10/2005,It's my life,Best Chem proffessor ever But his tests are VERY HARD,0,0,1
Business,12/13/2014,Meh,She is a nice lady but this comms class was a joke The classes and assignments were boring and a waste of time I spent all of my time on Pinterest and have an A as well Take this class if you want an A she gave a 20 point curve on a test but not if you want to learn anything,0,0,1
English,12/19/2007,Really into it,Prof Harrison is fantastic Her lectures are clear and relatively entertaining  There is a lot of homework but none of it is busy work The tests can be difficult but if you follow her study guides and study there shouldnt be a problem  Overall a fantastic class and an outstanding teacher,0,0,1
Portuguese,04/15/2013,It's my life,Dr Williams is a great teacher he is very caring about his students and really wants you to gain an appreciation for the material and comprehend it Just study the material and you will do great,0,0,1
Religion,10/27/2010,Really into it,He truly is my favorite teacher this semester Im very upset hes not my 122 teacher next semester  Hes awesome  Hes fun and spiritual a perfect combination,0,0,1
Theater,04/09/2012,It's my life,I LOVED Bro Waddsworth Best teacher ever He lectured a lot but kept things interesting Group presentations once a week and you can tell he loves what he does He cares about individuals and learns names fast Always willing to help when needed Hard tests but open world you can ask anyone for help even him,0,0,1
Religion,05/26/2008,It's my life,Awesome teacher  What else can I say  The class is easy if you listen in class  She teaches well and from the heart  One of the rare teachers that teaches well and is easy,0,0,1
Languages,08/29/2005,Really into it,Very good teacher with a good sense of humor  Extremely helpful  Cares a lot about teaching and the advancement of his students  Homeworks a little hard at first though,0,0,1
Religion,04/21/2014,It's my life,Nice guy But his tests are too hard He lies and says that if you know everything on the study guide youll be fine but hes wrong Tests are too hard,0,1,1
History,05/21/2009,It's my life,Prof Shoemaker is great His readings are all relevant and he does a great job of mixing both historical works and contemporary trials Lectures can be a bit long but he goes over the material well Very helpful and interesting Take his classes,0,0,1
Economics,12/05/2006,Really into it,I dont like econ at all but Bro Nate made it ok  Great teacher,0,0,1
Spanish,12/05/2011,It's my life,She genuinely cares about our well being and it shows by how she teaches the class Shes wonderful and I would highly recommend her for your future spanish teacher She makes Spanish fun,0,0,1
Physics,04/18/2007,Meh,What a cool guy I was really afraid to take physics in college because I have never had it before but this was the guy to take it from  He is such a geek but so cool  His tests vary from easier to hard but you ALWAYS have to study Is really fair and loves his students  Plus you get points for his mistakes on tests,0,0,1
Religion,12/18/2008,Really into it,I LOVE SISTER OLSON She knows her stuff extremely well and class is very enjoyable informative and easy to follow This is her world and   it comes through in the class When she follows her packet youll learn everything you need Make sure you get into groups to catch anything she may have missed,0,0,1
Chemistry,01/16/2005,Sorta interested,The man is a genious  BEST PROFESSOR I have taken at UW  He is a really great Professor as well as a very intelligent man as well  The workbook by him and Shakashiri might be one of the best books written for the course,0,0,1
Business,06/06/2006,Low,Great guy all around  Very helpful and approachable  Makes his tests very easy If you study even a little bit and go to lectures youll be fine  Curves grades to 80,0,0,1
Mathematics,06/08/2008,Really into it,Excellent professor take any class you can that he teaches,0,0,1
Marketing,08/26/2010,Really into it,I took MKTG 3001 with Jay Spring 2010 as part of I Core and had a good experience with the class  Going to class and participating is mandatory but it helps when test time rolls around  Make sure you read the book before exams  Lectures are interesting with lots of examples and small group discussions Dont stress out about mini projects,0,0,1
Chemistry,12/05/2005,Really into it,Best Chem Prof Shes very funny and nice Makes eveything sound interesting Awesome demos Her midterms and final are so straight foward and never tries to trick anyone Very easy She likes class participation and wants people to really learn the material She gave us candy for Halloween and overall SHES GREAT,0,0,1
Philosophy,12/11/2006,Really into it,Didnt organize the class very well and didnt always seem to have much more a grasp on the material than the students Kept everyone engaged in the material and was a really personable and made for a fun class but the class wouldve been better if I felt like I learned more,0,0,1
Computer Science,10/25/2005,It's my life,She is an amazing professor  the best one I have of all m classes She explains things very well and keeps things at a level that someone with no previous programming experience can understand yet keeps it all interesting I HIGHLY recommend taking any course she teaches,0,0,1
Student Services,04/17/2008,Really into it,This class was one block long  You have to attend every class  He has random quizzes which are way simple The final was easier than the midtermYou have a few easy assignments  The class is an easy A if you do what is needed plus you learn efficient study skills,0,0,1
Dance,05/21/2008,Really into it,Bryce was awesome  Couldnt have asked for a better dance 180 teacher seriously  He was funny entertaining his classes were enjoyable he knows his stuff basically an allaround awesome guy and teacher,0,0,1
Chemistry,03/15/2013,Low,Best teacher I have EVER had I hated Chem but Collins helped me to like it It is a hard class because of the subject dont listen to easy A guy its not an easy A Brother Collins will take the time to help you outside of class I admit I was in his office hours a day getting help because Chem doesnt come easily He is so understanding TAKE HIM,0,1,1
Electrical Engineering,01/11/2014,It's my life,Professor Potter goes above and beyond I scheduled another class that I did not need just to get his teaching again and learn from an experienced man in the field of engineering 7 stars  5,0,0,1
Business,01/24/2008,Really into it,I took BA 499 last quarter the mideterm and final exams not that hard as I thought I didnt even study for thaose test I got a B form my final grade lecture is kinda bored well my TA is awesomeJosh Lopez I donno what other ppl but I def recommonded Josh Lopez he is great,0,0,1
Chemistry,10/24/2011,It's my life,Great professor  He really knows what he is talking about and if you go ask him for help hes more than happy to assist you  His lectures are pretty clear and he makes an effort to make sure most people in the class understand before he moves on  Chem 111 is a hard class You have to work but Dr Dearden in an excellant professor,0,0,1
Religion,04/25/2011,It's my life,Dr Marsh is a very good professor He brings the spirit to class everyday and his insights are amazing He comes to class everyday with a smile and is ready to teach Dr Marsh does an excellent job teaching His stories are hilarious and his explanations of the scriptures are very insightful I recommend Dr Marsh Highly for RELA 122 BoM part 2,0,0,1
Geology,06/09/2006,Sorta interested,Prof Saltzmans class is very easy if you go to class  He only puts things on the exam that he writes down in class,0,0,1
Religion,12/12/2006,Really into it,Prof Parrish is one of the best religion teachers Ive had at BYU  Hes got a great teaching style a thoroughly likeable personality and good insights on the gospel  I rarely found myself looking at the clock  Its an easy class but beware test questions that get bogged down in trivial scriptural semantics,0,0,1
Religion,08/24/2009,It's my life,Brother Parker is an amazing professor With out a doubt one of my favorite professors at BYU His class is VERY challeging Be prepared to study a lot The more time you put into the class the higher your grade will be I made a B but if I wouldve put in a few more hours it would have been an A He tells hilarious jokes and you will love him,0,0,1
Biology,07/03/2013,It's my life,Brother Young is an awesome teacher He is very relaxed and easy going He really wants you to learn your stuff and expects you to put the time into the class and the material I really enjoy coming to his lab because I actually learn stuff and he makes it a lot of fun I highly recommend taking any class from him He knows what he is talking about,0,0,1
English,03/03/2010,It's my life,These people who have commented on her 251 class are dumb I spend 30 min if that on homework for each class ITS EASY Her quizzes and unit exams are all OPEN BOOK  You dont even have to read just look in the book during the test If you think thats hard then your dumb And you can redo any work My essay was 86 redid it and got 100,1,0,1
Religion,01/06/2005,Sorta interested,Gives half the class A or A  Tests are hard but graded on a curve I got an A but my score on the final was 68  Good teacher if you like lots of good stories and not too much heavy stuff  The daily reading quizzes were kind of lame but the reading mateireal was good,0,0,1
History,01/26/2005,It's my life,daniel schroeter is a great prof a professor is not an entertainer he offers clear critical insight if youre bored youre not interested in the subject,0,0,1
Chemistry,10/26/2011,Sorta interested,All depends on your TA Some of them are real pricks Very time consuming Lectures are useless,0,0,1
English,01/28/2012,Sorta interested,She is extremely helpful and always knows what students need Also she is patient with any questions you may have Great class and great instructor,0,0,1
Physics,12/07/2009,Sorta interested,I really enjoyed Brother TURCOTTEs class He is a super nice guy and very helpful He is easy to approach The homework is just the right amount for a two credit class You have a short paragraph and a few questions for every reading Have two of those a week and a group project once a week,0,0,1
Information Systems,01/07/2014,Really into it,Professor Romney is a WONDERFUL teacher I dont know what all these negative comments are about He really knows what he is talking about and is genuinely interested in his students He even learned all our names Though his class is hard if you read the book faithfully and study hard an A is definitely attainable The tests are curved anyway,0,0,1
Religion,04/06/2010,Sorta interested,Brother Moore is a great teacher  This is the second semester that I have taken a class from him and if I get the chance I would definitely take another from him  Tests are easy if youve paid attention in class and done the assigned readings  Lectures are more like discussions and are always worth attending  Awesome class,0,0,1
Chemistry,12/19/2011,Really into it,Maybe not the most interesting person in the world but shes very organized and clear She was always quick to respond to email questions unlike most professors REALLY knows her chemistry GREAT,0,0,1
Psychology,09/27/2005,It's my life,He is a teacher who is willing to take the time to help you out He expects you to do your part and his classes can be challenging He is a good teacher to have for students who are serious about learning the subject,0,0,1
Business,03/28/2014,Really into it,Jim Brau is the man This class itself is known to be one of the tougher classes at BYU but the way he teaches makes class easy to attend and pay attention he clearly demonstrates how to complete problems and really focuses on the intuition behind formulas He is also a cool guy and makes class enjoyable,0,0,1
Chemistry,09/19/2011,Sorta interested,I liked how Bro Becerril was very organized with the class the slides for us to print off so we can pay attention and learn more while in class I also liked how he gave us a whole outline of the semester with our homework and things that we need to studyHe also motivated us to work hard and harder,0,0,1
Biology,12/18/2014,Really into it,It is a two credit course and he treats as such The course load is appropriate but you still feel that you get something out of the course,0,0,1
Education,11/13/2006,It's my life,Shes VERY energetic  This is probably one of the only classes Ive never almost fallen asleep in  Youll love her,0,0,1
Engineering,10/09/2007,Really into it,Pretty helpful teaches well,0,0,1
Horticulture,03/10/2010,Really into it,Class goes quickly over material  If you are unsure about anything ask him and he will be glad to help you understand anything no matter how small  He is a straight up hard get your moneys worth teacher and he should be respected for that  He prepares well for class and has props that are meaningful,0,0,1
Religion,08/22/2007,Low,Brother walsh was the man what else is there to say If you want a fun down to earth professor that isnt really complicated go for brother walsh hes funny easy to listen too and his tests and assignments are way easy too Enjoy him,0,0,1
Chemistry,08/14/2008,Sorta interested,Well I thought it was a decent class I barely went and still got a good grade This class was a cake walk compared with Flemming I really loved Flemming but it was nice not to have to go to class Tips do the homework study the recitation packet and read if you dont understand Class wasnt all that useful or interesting,0,0,1
Accounting,05/13/2011,Really into it,Loved his classes I read the reviews and laughed at most of them I took 356 and 333 in the same semester once you learn his teaching style he is a great teacher After moving on to a different university I realized that he is not as arrogant as most of the PHDs you will find else were and more willing to help Do the work he is there if you ask,0,0,1
English,05/05/2013,Sorta interested,This class is pretty easy He sets up workshops where you work with a group to revise your essay and help make it as perfect as possible He does this many times before its actually due And even when it is due he still revises it for you and lets you correct Its an easy class but not super fun,0,0,1
Engineering,12/15/2010,It's my life,Barner is one of the best instructors in the department He was great for 230 because electronics are his chief area of interest and expertise It is not an easy A and his tests are challenging but if you keep up you can learn a lot and retain it The fact that he came from a comfy industry job to teach says nothing but good things about him,0,0,1
Communication,09/05/2007,Really into it,very genuine he will help you with anything you need get to know him  his class is easy just show up and do the work,0,0,1
Science,10/28/2004,Sorta interested,Tough but good,0,0,1
Languages,01/17/2008,It's my life,If you try in class hell recognize it and respect you If you dont care hell know and hell stop caring speak english to you and generally ignore you I was into it and I had a lot of fun hes a very funny guy if you can catch his quick jokes Speak up in class in French and take advantage of his help on compositions I liked his class,0,0,1
Foreign Languages & Literature,04/02/2014,Really into it,Brother Felt was a phenomenal teacher He didnt just teach you about the subject you LIVED the subject in his class I would recommend him to ANYONE for taking this class,0,0,1
Psychology,11/09/2011,It's my life,She is a great professor She is very helpful and posts up study guides for each lecture online She is very friendly and she always can put things into the easiest to understand language,0,0,1
Animal Science,12/20/2007,It's my life,Bro Powell is really helpful and has a passion for the material he passes on to students Hes also willing to work with you if you dont understand or with your schedule,0,0,1
Fine Arts,04/11/2005,It's my life,Steve was a great teacher and he really knows his stuff  I would definitely recommend him to anyone who has any interest at all in learning how to dance  He is funny and makes the class time fly by,0,0,1
Chemistry,12/15/2005,Low,HILARIOUS and pretty hottests kinda hard but doesnt matter bc class is on a curve,0,0,1
Foreign Languages & Literature,03/29/2007,It's my life,Good Guy Likes discussion no tests learn a lot Lots of insights on readings and write ups on articals,0,0,1
English,06/02/2005,Sorta interested,Hes so liberal Hes not a bad guy but dont write anything politically based unless you are writing praise for the communist party,0,0,1
Classics,05/11/2007,Sorta interested,He can be a real prick he kicked me out of class in front of everyone for absolutely no reason I think it was because of my friend but he is a great teacher,0,0,1
Psychology,03/09/2007,Low,Dr Flom is awesome He is really niceby far the most approachable professor Ive had at BYU I cant imagine taking this class from anyone else His lectures are so funny its one of my most entertaining classes And he is a great teacherhe does a great job of explaining difficult concepts,0,0,1
Business,12/03/2014,It's my life,Bro Brau is an awesome professor Very passionate about finance and the success of his students Can be tricky but if you go to class and take notes you will be just fine,0,0,1
Political Science,05/10/2014,It's my life,Barry is the best TA I have had at college so far He explains all relevant information really clearly and answers any questions well and promptly He tells his students whether or not well need to study certain terms or details for a test and holds a review sessions before the final He keeps section interesting and fun Attendance recommended,0,0,1
Physical Education,06/11/2009,It's my life,She is hilarious Yes she yells is tough and expect you to put in 100 effort every class but shes a great teacher Dont be intimidated by her and ask for help she is a great coach and really knows her stuff,0,0,1
Writing,12/16/2010,Low,He is my favorite professor and knows what he is talking about I highly recommend taking him for Honors 150,0,0,1
Chemistry,12/05/2004,Really into it,challenging class,0,0,1
Theater,03/15/2014,Meh,Hated the material loved Brother Bates Would definitely take him again He is super passionate and probably made the subject as interesting as it could have been for me The workload is seriously pretty dang easy and the tests arent hard to study for Whether you like the material or not I would HIGHLY recommend Brother Bates Also hes funny,0,0,1
Finance,12/07/2011,Really into it,Professor Oglevee has extensive experience in the business world He has worked on Wall Street and been an entrepreneur He spends at least 20 minutes of each class session telling stories which are very enriching and giving tips on succeeding in business He has high expectations but you will learn more as a result Fantastic class,0,0,1
History,05/17/2011,It's my life,The most amazing professor Ive ever had No matter how cliche this sounds he changed my entire perspective on life He is absolutely brilliant so humble and he will do ANYTHING to help you succeed no matter what your major Supplies extra books to read very cool NOT an easy class but you learn more than you can imagine Best teacher ever,0,0,1
Economics,05/11/2005,Meh,His tests are almost identical to the practice ones he has online  The final even had some questions that were identical to the practice final  Yes he can be funny and he can seem condescending at times but it isnt that bad  The class is dull but easy if you put in a little time,0,0,1
Philosophy,06/05/2006,Sorta interested,Most engaged teacher I have had while at OSU Although by far the most arrogant one He makes the information interesting with his rants However come exam time your basically screwed,0,0,1
Religion,06/22/2014,Really into it,By far the best teacher that I have had at BYU Cares about the students and explains doctrines in a way that you will understand You will get a good grade as long as you do the assigned work Tests are very fair and not too difficult Take notes from class in your scriptures,0,0,1
Chemistry,01/22/2008,Sorta interested,His class is very hard but his tests are also very fair You will need to do the book problems in order to do well on his tests because every single problem is straight from the text,0,0,1
Church History,01/11/2006,It's my life,Hes an awesome teacher and an awesome class,0,0,1
Art History,04/18/2005,It's my life,I loved this class She is a marvelous Professor If you go to class and take good notes you will never have to do the reading Tests are all essay and you get the questions beforehand but her TAs grade hard I strongly recommend this class,0,0,1
Spanish,09/20/2008,Really into it,just heard her read a paper in Duquesne  Fantastic,0,0,1
Classics,07/16/2014,Really into it,Good professor but the lectures werent the most interesting but a lot of material from the quizzes youd only know if you attended Read and attend most lectures and youll do fine,1,0,1
Political Science,01/11/2006,Really into it,the weekly quizzes sucked but its really easy to guess on them the tests are really easy if you just know the vocabulary from the chapter papers are tough though because the TAs grade super hard,0,0,1
Religion,12/04/2008,It's my life,Parker is a really funny guy and as long as you read the Book of Mormon go through the packet and pay attention in class you will do just fine,0,0,1
Spanish & Portuguese,04/30/2014,It's my life,Marin is amazing Very clear and VERY nice,0,0,1
Music,12/27/2013,It's my life,Best class best time best teacher,0,0,1
Political Science,09/14/2005,It's my life,Sampson is an awesome teacher I graduated 3 years ago and he still rememberd me enough to write a great recommendation for grad school,0,0,1
Music,12/01/2014,It's my life, He loves rock N roll and would set fire to a retirement home to teach this class and listen to this type of music He makes the class interesting fun and offers a different perspective on what your parents may say about rock n roll Favorite class this semester and easy to go on top of it ,0,0,1
Dance,02/03/2006,It's my life,Great teacher  Showed me how passionate I could be when it came to the art of dancing  I had originally registered for the wrong class but was captivated by Dr Ollertons teaching style and passion for dance  I went on to dance in the broadway musical quotCATSquot  Good times,0,0,1
Computer Science,12/14/2010,Sorta interested,I liked her alot She is really nice I had some excel experience so the class was not bad to me Everyone complains about the prelabs but they teach you the material I didnt do any of the homework cuz its not manditory just advised Go to class cuz she gives out bonus for coming which helps if you need help go to her office hours it helped alot,0,0,1
Sociology,06/21/2011,Really into it,This was my favorite class Stephen makes it extremely interesting and he is hilarious i cant wait to take more classes from him It is pretty easy as long as you pay attention in class and hes hot,0,0,1
Religion,12/09/2005,It's my life,He is great  I liked his class and he is really down to earth  Great for ag kids and youll like him,0,0,1
Art & Art History,11/05/2004,It's my life,Dry yes but terribly sweet  Like a good sherry  Learned aplenty about Northern Renaissance art went on to write a wellreceived series of papers thereupon I credit Jane  Her liberal use arthist terminology will confound some titilate others do your homework and youll be richly rewarded,0,0,1
Chemistry,11/15/2011,It's my life,Dr Szczech is very organized Lectures lay out the material nicely and she explains on a molecular level why we use various equations and calculations,0,0,1
Religion,08/22/2012,Sorta interested,Br Parker was my favorite teacher at BYU He is funny and very informative Youll need to attend every class and do the homework but if you do the quizzes and tests are a breeze He answers every test question at some point in class,0,0,1
Engineering,02/08/2013,Low,Best Prof Ive had I had no interest in polymers before his class now Im considering a career in it The first two weeks are just history basednot tested on but Im still taking notes regardless because he makes it that interesting Tell me thats not a good professor,0,0,1
Exercise & Sport Science,04/07/2006,Really into it,She was always very prepared for class and gave you background so you could really understand the sciptures  Tests were pretty easy as long as you took notes in class  Plus she was very kind and obviously loved all her students,0,0,1
Engineering,07/21/2007,Sorta interested,Dr Freuler is one of my favorite people in the whole world  He is a great teacher and I have never known a professor that cared more about his students  He made an incredibly positive impact on my entire undergraduate career,0,0,1
Economics,12/12/2008,It's my life,By far he is my favorite professor His class is challenging be nature but he is so willing to work with you You just need to reach out to him I really enjoyed every class I attended He is still young but I would say he is a rising star in Marriott School I think he is  the best,0,0,1
Social Science,04/16/2014,Really into it,Dr Carroll is a phenomenal teacher Hes clearly an expert in his field yet hes still very relatable and understanding of how everyone feels about dating relationships and life He relies perfectly on both scientific research and gospel teachings Its a class that I wish everyone would take he knows what hes talking about Funny  cool guy,0,0,1
Biology,03/23/2009,It's my life,Professor Sanderfoot is one of the best biology teachers that I have ever had at the UMN  I highly recommend him his lectures and exams are clear and interesting  You will do very well in his class if you go to lecture ,0,0,1
Religion,07/20/2008,It's my life,Professor Brooks was wonderful  He knew the material inside out and made it relete to each of us  While we also had to master the info there was so much room for making it apply to our own lives  He was always willing to chat after class and there would be lots of students not wanting to leave  It was a wonderful experience,0,0,1
Communication,04/08/2008,Really into it,loved stacy I had her for interpersonal comm and she was probably the most interesting and fun teachers thati have ever had made class interesting and relevent to our lives I would totally takea class with her again,0,0,1
Languages,03/12/2010,It's my life,Yoassi is very strict and intimidating true hes a fair grader though and will definitely improve your grammar and pronunciation If youre planning on being a French major I definitely recommend his classes If youre getting retro credits and just need to pass find another section To win him overget an A just speak up a lot in class,0,0,1
Mathematics,03/05/2012,It's my life,Bro Pieper really knows his stuff  He cares about us understanding the subject not just giving us grades He was always available whenever anybody needed help,0,0,1
Political Science,02/09/2006,It's my life,I read about 20 pages total in this class and still got an A The key is actually paying attention in lectures And then sifting through before midterms and studying key concepts He gives out a pretty good review sheet which helps figure out whats on the examsNo surprises there Plus hes hilarious and the topic is interestingMy fav class so far,0,0,1
Religion,05/12/2010,Sorta interested,LOVE LOVE LOVED this class He is so inspired and teaches with the spirit Take a smaller class size if you can because he likes to have discussions and really apply the scriptures to modern day I learned so much in this class Tests arent hard if you study the study guide really well TAKE HIS CLASS,0,0,1
Theology,01/04/2015,Sorta interested,Hes absolutely phenomenal The class itself is easy but I learned SO much in it I think Bro Palmers class is the epitome of how a religion class should be with Bro Palmer being the epitome of the teacher that a religion class should have I just wish he taught more religion classes because Id take all of them from him,0,0,1
Mathematics,12/15/2014,Really into it,Hes very into what hes doing which is a very nice thing to see in a professor Hes honest with you about your midterms and tests He does whatever you need help with and knows his math very well ,0,0,1
Political Science,07/13/2013,It's my life,Awesome teacher Very casual style while still expecting performance from you He doesnt have midterms or a final for this class but instead you write a literature review and a policy brief two documents I had never really used in the political field until this class Overall a great course and I learned a lot about developing nations,0,0,1
Journalism,12/15/2005,Really into it,Great class on research and consulting  Not sure if the people who wrote the previous two comments even went to class,0,0,1
English,12/26/2014,Sorta interested,She is my favorite professor to date She had tons of office hours and was always willing to help The papers were difficult but no one said college is supposed to be easy The class really improved my writing ,0,0,1
Business,04/20/2007,Low,Liz is an amazing teacher She was excited and passionate through every lecture This was by far my favorite class You learn information you can really apply to the read world Take from LIZ Shes the best,0,0,1
English,06/06/2014,It's my life,I loved this class Great readings great analysis in class very reasonable work load easy quizzes each week You MUST study  read to pass Lectures were very wellorganized TAs  McHale were all very available to ask questions McHale is very passionate about lit  it makes the class VERY enjoyable Highly recommended,1,0,1
Computer Science,06/11/2009,It's my life,Brother Neff is the fairest teacher I have ever had in my life I have a 108 in the class write now Just do what he tells you to and everything is so simple Dont be afraid to ask questions This is the key to success,0,0,1
Health Science,05/09/2007,Sorta interested,He seems to put a lot of specific details onto the exam He also likes to put more scenariolike questions on the exams which make it a little more interesting to think about anatomy in a clinical way But if you study the lecture guide and go to the review sessions you will have no problem doing well in the course,0,0,1
Humanities,03/13/2014,Really into it,Brother Flora was a great professor He is very passionate about what he teaches This class takes some work but he is very helpful and kind Totally recommend taking humanities from him,1,0,1
Religion,07/12/2012,It's my life,Brother Peck is an amazing teacher He is so enthused about what he teaches that it makes you enthused too He has a great sense of humor and is a pretty funny guy His class is amazing I loved going to his class Easily the best class of my semester  Even though his class is really easy you get so so so so much out of it,0,0,1
Sociology,08/22/2008,Sorta interested,Great teacher Lectures are very clear and he is very clear about what he expects students to know for the tests Some buyswork you have to do that gets annoying but if you take notes and study it should be an easy A,0,0,1
Biology,01/05/2009,Really into it,Very well prepared for lecture and intersting pictures Tons to memorize almost too much to be of any use in the long run but still a great class Would recommend,0,0,1
Science,10/24/2014,Sorta interested,Aanderud is suppppppeer chill He also loves the environment a tad too much Memorize the slides and go to the TA reviews BTW none of the tests are cumulative and they together only make up about 50 of your grade Dont buy the online text book he even admits that its a waste of time,0,0,1
Biology,07/31/2013,Low,The test are challenging yes The class average will be low but there are a ridiculous amount of opportunities to earn full points in other areas Also maybe those that claimed that he doesnt care about students concerns never actually contacted him until the 11th hour he always clarified things I was confused on,0,0,1
Chemistry,03/22/2008,Really into it,Extremely passionate about helping students,0,0,1
